E_UTM,N_UTM
202858.0,7544671.0
203874.0,7544412.0
204193.0,7544379.0
204467.0,7544544.0
204963.0,7544078.0
205251.0,7544004.0
205380.0,7543853.0
205159.0,7543729.0
205109.0,7543737.0
205104.0,7543752.0
205078.0,7543748.0
205003.0,7543772.0
204950.0,7543785.0
204913.0,7543779.0
204869.0,7543797.0
204854.0,7543821.0
204830.0,7543817.0
204809.0,7543831.0
204680.0,7543815.0
204663.0,7543803.0
204573.0,7543718.0
204520.0,7543743.0
204496.0,7543744.0
204478.0,7543741.0
204486.0,7543766.0
204452.0,7543772.0
204439.0,7543734.0
204396.0,7543661.0
204424.0,7543642.0
204410.0,7543618.0
204458.0,7543565.0
204427.0,7543492.0
204442.0,7543417.0
204468.0,7543344.0
204421.0,7543364.0
204354.0,7543423.0
204367.0,7543495.0
204325.0,7543513.0
204280.0,7543510.0
204270.0,7543466.0
204198.0,7543463.0
204136.0,7543475.0
204073.0,7543445.0
203951.0,7543492.0
203982.0,7543539.0
203991.0,7543574.0
204011.0,7543580.0
204044.0,7543639.0
204032.0,7543681.0
204008.0,7543708.0
